Quote,Author,Category
"A brand is a person's gut feeling about a product, service, or company. It's not what you say it is. It's what they say it is.",Marty Neumeier | The Brand Gap,design
Become the number one or number two in your space. Can't be the number one or number two? Redefine your space or move to a different tribe.,Marty Neumeier | The Brand Gap,design
"Compassion is not a religious business, it is human business, it is not luxury, it is essential for our own peace and mental stability, it is essential for human survival",Dalai Lama,inspirational
Everybody has a plan until they get punched in the mouth.,Mike Tyson,strategy; leadership; facilitation
"If you chase two rabbits, both will escape",Anonymous,strategy; process
"If you want to change your business, your country, your own life, be humble enough and open enough to listen to other points of view.",Hernan Carranza | Chief Innovation Officer at Intercorp,leadership
"Strategy is about making choices, trade-offs; it's about deliberately choosing to be different",Michael Porter,strategy
"The best leaders start with humility, believing they donâ€™t know all they need to know before they start making decisions.",Jim Keane | Former President & CEO of Steelcase,leadership
"The indiscriminate use of typefaces, geometric patterns, and ""abstract"" shapes (hand or computer-generated) is self-defeating when they function merely as a vehicle for self-expression.",Paul Rand | Thoughts on Design,design
What is important is seldom urgent and what is urgent is seldom important,Dwight D. Eisenhower,strategy; process
"Without a facilitator, the Design Sprint is like an orchestra without a conductor, like a recipe for a complicated meal, without a chef to cook it",Jonathan Courtney | The Workshopper Playbook,facilitation
"Whatever you are, be a good one",Abraham Lincoln,inspirational
"If you would persuade, you must appeal to interest rather than intellect.",Benjamin Franklin,inspirational